LINK,CARD NAME,MSRP,1080P ULTRA,1440P Ultra,4K ULTRA,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4090,GeForce RTX 4090,"$1,500 ",154.1,146.1,114.5,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7900+XTX,Radeon RX 7900 XTX,$929 ,149,135.3,95.1,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4080+Super,GeForce RTX 4080 Super,"$1,029 ",148.3,133.0,91.9,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4080,GeForce RTX 4080,"$1,679 ",147,130.4,89.3,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7900+XT,Radeon RX 7900 XT,$689 ,143.9,125.9,81.2,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4070+Ti+Super,GeForce RTX 4070 Ti Super,$799 ,142.3,122.0,78.6,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4070+Ti,GeForce RTX 4070 Ti,$739 ,138.3,116.5,73.0,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7900+GRE,Radeon RX 7900 GRE,$650 ,135.8,113.9,69.3,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4070+Super,GeForce RTX 4070 Super,$599 ,134.2,109.8,66.1,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6950+XT,Radeon RX 6950 XT,$669 ,130.5,110.1,67.1,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3090+Ti,GeForce RTX 3090 Ti,"$1,649 ",130.5,112.7,75.9,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7800+XT,Radeon RX 7800 XT,$449 ,129.3,105.8,62.3,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3090,GeForce RTX 3090,"$1,425 ",125.5,106.0,70.7,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6900+XT,Radeon RX 6900 XT,$811 ,124.6,102.1,61.2,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3080+Ti,GeForce RTX 3080 Ti,$979 ,123.9,103.9,68.8,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6800+XT,Radeon RX 6800 XT,$699 ,122.7,99.0,57.9,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3080+12GB,GeForce RTX 3080 12GB,$849 ,122.1,102.3,66.7,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4070,GeForce RTX 4070,$509 ,122,97.8,57.2,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3080,GeForce RTX 3080,$749 ,117,96.4,62.0,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7700+XT,Radeon RX 7700 XT,$398 ,116.1,92.7,51.5,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6800,Radeon RX 6800,$458 ,114.6,89.2,50.7,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3070+Ti,GeForce RTX 3070 Ti,$649 ,104,82.8,47.7,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6750+XT,Radeon RX 6750 XT,$362 ,102.9,77.2,42.8,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4060+Ti+16GB,GeForce RTX 4060 Ti 16GB,$449 ,100.6,75.7,41.6,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4060+Ti,GeForce RTX 4060 Ti,$379 ,100.4,75.6,39.6,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Titan+RTX,Titan RTX,"$1,500 ",99.3,79.5,47.8,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6700+XT,Radeon RX 6700 XT,$454 ,99.1,73.4,40.4,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3070,GeForce RTX 3070,$480 ,98.8,77.7,44.4,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2080+Ti,GeForce RTX 2080 Ti,$450 ,96.3,75.6,43.5,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7600+XT,Radeon RX 7600 XT,$314 ,91.9,65.9,37.1,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3060+Ti,GeForce RTX 3060 Ti,$409 ,90.3,70.0,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6700+10GB,Radeon RX 6700 10GB,$430 ,86.1,62.8,32.9,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2080+Super,GeForce RTX 2080 Super,$699 ,86,66.1,36.7,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+4060,GeForce RTX 4060,$289 ,84.9,61.2,31.9,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2080,GeForce RTX 2080,$699 ,82.5,63.2,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+7600,Radeon RX 7600,$249 ,82,57.3,29.1,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6650+XT,Radeon RX 6650 XT,$236 ,77.7,54.5,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2070+Super,GeForce RTX 2070 Super,$500 ,77.4,58.4,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Intel+Arc+A770+16GB,Intel Arc A770 16GB,$229 ,76.9,59.8,35.3,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Intel+Arc+A770+8GB,Intel Arc A770 8GB,$349 ,75.3,57.5,33.2,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6600+XT,Radeon RX 6600 XT,$239 ,74.7,52.2,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+5700+XT,Radeon RX 5700 XT,$399 ,73.3,53.1,29.3,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3060,GeForce RTX 3060,$359 ,72.3,54.0,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Intel+Arc+A750,Intel Arc A750,$199 ,70.8,53.7,31.1,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2070,GeForce RTX 2070,$499 ,69.8,51.8,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+GTX+1080+Ti,GeForce GTX 1080 Ti,$699 ,66.4,50.2,29.5,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2060+Super,GeForce RTX 2060 Super,$399 ,65.3,48.3,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+6600,Radeon RX 6600,$189 ,65.2,44.8,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Intel+Arc+A580,Intel Arc A580,$179 ,65.1,48.8,27.9,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+5700,Radeon RX 5700,$350 ,64.5,46.7,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+5600+XT,Radeon RX 5600 XT,$279 ,57.8,42.0,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=Radeon+RX+Vega+64,Radeon RX Vega 64,$120 ,56.7,41.6,23.5,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+2060,GeForce RTX 2060,$399 ,55.5,40.1,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+GTX+1080,GeForce GTX 1080,$200 ,53,39.4,,,
https://www.amazon.com/s?rh=n%3A17923671011%2Cn%3A284822&k=GeForce+RTX+3050,GeForce RTX 3050,$169 ,51.9,38.5,,,
